experiment,Subject_global,N_train,testMSElabels,testMSElabels_Efron,%trials choose right side,%trials choose complex model,bias (true gen),bias (testMSE),bias (testMSE_Efron),bias (testMAE),bias (testTSE),human_Efron_choiceprobdiff
exp1,38,10.0,0.2916666666666667,0.2916666666666667,0.4583333333333333,0.375,-0.125,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.14583333333333334,0.08333333333333331
exp1,38,50.0,0.5,0.5208333333333334,0.4791666666666667,0.4583333333333333,-0.041666666666666664,-0.041666666666666664,-0.0625,-0.041666666666666664,-0.0625,-0.06250000000000006
exp1,39,10.0,0.2916666666666667,0.2916666666666667,0.5208333333333334,0.8958333333333334,0.3958333333333333,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.375,0.6041666666666667
exp1,39,50.0,0.5,0.5208333333333334,0.5625,0.875,0.375,0.375,0.3541666666666667,0.375,0.3541666666666667,0.35416666666666663
exp1,40,10.0,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.7916666666666666,0.2916666666666667,0.5,0.5,0.5,0.2708333333333333,0.49999999999999994
exp1,40,50.0,0.5,0.5208333333333334,0.5208333333333334,0.4791666666666667,-0.020833333333333332,-0.020833333333333332,-0.041666666666666664,-0.020833333333333332,-0.041666666666666664,-0.041666666666666685
exp1,41,10.0,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.875,0.375,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3541666666666667,0.5833333333333333
exp1,41,50.0,0.5,0.5208333333333334,0.5208333333333334,0.875,0.375,0.375,0.3541666666666667,0.375,0.3541666666666667,0.35416666666666663
exp1,42,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.3958333333333333,-0.10416666666666667,0.10416666666666667,0.10416666666666667,0.10416666666666667,-0.125,0.10416666666666663
exp1,42,50.0,0.5,0.5208333333333334,0.5208333333333334,0.3958333333333333,-0.10416666666666667,-0.10416666666666667,-0.125,-0.10416666666666667,-0.125,-0.12500000000000006
